good,dirty,wait,lastyear,usa
0,1,2.24,4,1
1,0,1.82,27,1
0,2,2.01,3,1
1,0,3.19,2,1
1,0,1.56,2,1
1,0,0.96,1,1
1,0,3.07,2,1
1,1,2.19,3,1
1,0,5.47,2,1
0,0,1.77,2,1
0,0,1.44,1,1
1,0,1.56,3,1
0,0,5.56,1,1
0,0,2.34,2,1
1,0,1.97,4,1
1,0,2.21,2,1
1,0,2.21,1,1
1,1,5.49,1,1
0,2,1.31,3,1
0,0,2.21,1,1
0,0,2.21,1,1
1,0,2.62,2,1
1,0,2.96,5,1
0,0,5.59,1,1
0,0,3.77,1,1
0,0,2.29,6,1
1,0,2.57,3,1
1,0,1.07,8,1
1,0,5.26,66,1
1,1,0.74,1,1
1,0,5.14,3,1
0,1,5.14,8,1
0,0,4.79,4,1
1,0,0.74,4,1
1,0,0.99,11,1
1,0,0.99,1,1
1,0,0.66,1,1
0,0,0.99,0,1
1,0,1.51,17,1
1,1,4.77,1,1
0,0,5.51,2,1
0,0,1.21,3,1
0,0,5.51,9,1
0,0,0.99,1,1
1,0,5.51,3,1
0,0,5.51,5,1
1,0,5.51,2,1
0,0,5.51,8,1
0,0,5.34,4,1
0,0,1.32,1,1
0,0,5.59,1,1
1,0,5.47,4,1
1,0,5.34,9,1
0,0,5.34,2,1
1,0,1.07,3,1
1,0,0.82,2,1
0,0,3.24,1,1
1,0,0.99,1,1
0,0,5.34,1,1
1,0,5.14,1,1
0,0,0.74,5,1
1,0,0.82,3,1
0,0,1.07,4,1
1,0,5.34,1,1
0,0,4.77,4,1
0,0,5.34,3,1
1,0,5.51,3,1
0,0,1.51,5,1
0,0,1.24,2,1
1,0,1.51,1,1
1,0,2.74,7,1
0,0,1.72,1,1
0,0,4.79,5,1
1,0,0.99,1,1
0,0,5.26,3,1
0,0,5.14,9,1
1,0,4.77,1,1
0,0,0.66,3,1
0,0,1.51,1,1
1,0,3.31,8,1
1,0,1.51,1,1
1,0,5.51,1,1
0,1,4.77,1,1
1,0,2.16,3,1
1,0,4.77,4,1
1,0,1.72,1,1
0,0,0.99,3,1
1,0,0.99,6,1
1,0,5.51,1,1
1,0,1.24,4,1
0,1,0.74,16,1
0,0,0.66,2,1
1,0,4.77,1,1
0,0,0.74,1,1
0,0,5.26,3,1
1,0,4.77,47,1
0,0,5.26,7,1
0,0,0.99,4,1
1,0,5.51,2,1
1,0,5.14,4,1
0,0,4.77,2,1
1,0,5.51,1,1
1,0,1.51,1,1
1,0,0.74,4,1
1,0,1.24,2,1
1,0,0.99,1,1
1,0,5.51,4,1
1,0,5.34,2,1
0,0,0.91,1,1
1,0,2.57,12,1
0,0,0.66,2,1
0,0,5.51,1,1
1,0,5.26,2,1
1,0,1.24,2,1
1,0,5.51,1,1
0,0,4.77,2,1
1,0,5.51,1,1
1,0,0.99,1,1
1,0,0.99,4,1
0,0,0.74,16,1
0,0,0.99,2,1
0,0,4.77,1,1
1,0,0.99,2,1
0,0,4.77,1,1
0,0,0.99,23,1
1,0,5.26,4,1
0,0,0.99,1,1
1,0,0.99,5,1
1,0,5.26,4,1
0,0,5.34,1,1
1,0,0.99,5,1
1,0,1.24,2,1
1,0,3.31,2,1
1,0,4.77,3,1
1,0,4.96,3,1
0,0,3.89,1,1
1,0,4.77,16,1
1,0,5.26,13,1
1,0,4.44,5,1
1,0,5.51,1,1
1,0,4.77,1,1
0,0,4.77,5,1
1,0,0.99,0,1
1,0,5.51,4,1
1,0,0.82,2,0
1,0,5.26,3,0
1,0,1.16,5,0
1,0,1.16,1,0
1,0,0.66,4,0
1,0,5.14,12,0
0,0,1.66,2,0
0,0,1.16,2,0
1,0,5.34,4,0
1,0,5.42,6,0
1,0,0.91,9,0
0,0,0.66,12,0
0,0,0.66,1,0
1,0,1.41,2,0
0,0,1.41,7,0
1,0,0.91,2,0
1,0,1.41,4,0
1,0,0.66,1,0
1,0,0.66,2,0
1,0,5.59,18,1
1,0,1.99,4,1
1,0,1.81,2,1
1,0,0.82,2,1
1,0,0.91,9,1
1,0,1.07,2,1
0,0,0.99,46,1
1,0,1.07,5,1
1,0,1.07,4,1
0,0,5.59,3,1
1,0,5.59,3,1
1,0,1.32,6,1
1,0,4.96,5,1
1,0,1.07,8,1
0,0,0.74,10,1
1,0,5.59,3,1
1,0,0.91,3,1
1,0,5.59,1,1
1,0,1.07,4,1
1,0,1.59,1,1
0,0,2.81,2,1
1,0,1.59,7,1
0,0,1.99,1,1
1,0,1.99,1,1
1,0,5.34,3,1
1,0,1.59,2,1
1,0,1.59,4,1
1,0,0.82,3,1
0,0,1.07,2,1
0,0,1.24,4,1
1,0,1.59,4,1
1,3,4.96,12,1
0,0,5.59,3,1
1,0,4.44,4,1
0,0,1.07,2,1
0,0,0.82,0,1
1,0,1.51,1,0
1,0,0.74,3,0
1,0,1.07,1,0
1,0,1.51,1,0
1,0,1.92,1,0
0,0,5.51,1,0
1,0,0.82,1,0
1,0,0.91,1,0
1,0,1.66,1,0
0,0,5.51,1,0
1,0,5.51,1,0
0,0,0.91,4,0
0,2,5.51,4,0
1,0,5.67,2,0
1,0,5.67,4,0
1,0,5.67,2,0
0,0,1.16,1,0
0,0,2.29,1,0
0,0,1.89,4,0
0,0,1.89,3,0
0,0,2.71,1,0
1,0,2.57,2,0
1,0,1.89,6,0
0,0,1.89,2,0
0,0,1.99,1,0
1,0,0.91,1,0
0,0,2.71,1,0
0,0,3.14,1,0
1,0,4.24,2,0
1,0,4.37,1,0
1,0,2.86,1,0
1,0,1.51,1,0
1,0,1.16,2,0
0,0,1.66,4,0
0,0,5.67,2,0
1,0,0.82,2,1
1,0,5.34,5,1
1,0,1.59,1,1
1,0,1.59,1,1
1,0,5.59,1,1
1,0,5.59,4,1
0,0,1.81,1,1
1,0,5.59,5,1
0,0,5.34,4,1
1,0,1.32,1,1
0,0,0.99,2,1
0,0,5.51,3,1
0,0,1.92,1,1
1,1,1.92,2,1
0,2,0.99,3,1
1,0,1.51,1,1
1,0,1.92,1,1
1,0,1.51,2,1
1,0,3.52,6,1
0,0,1.51,2,1
1,0,1.51,2,1
1,1,0.99,1,1
1,0,1.92,1,1
1,0,1.92,1,1
1,0,5.51,2,1
0,0,0.66,1,1
1,0,0.74,2,1
1,0,2.36,1,1
1,0,2.16,2,1
1,0,1.99,2,0
0,1,3.09,2,0
1,0,1.66,2,0
0,0,5.67,2,0
1,0,4.96,4,0
0,0,1.07,50,0
1,0,3.69,1,0
1,0,1.59,2,0
0,0,5.59,5,0
1,0,0.91,6,0
1,0,2.36,1,0
1,0,2.46,2,0
1,0,3.11,1,0
0,0,2.31,1,0
1,0,1.61,2,0
0,0,3.11,2,0
1,0,1.11,18,0
1,1,0.66,29,1
0,1,1.41,9,1
1,0,0.91,8,1
1,1,1.41,43,1
0,0,0.66,4,1
0,0,5.51,1,1
0,0,3.27,13,1
1,0,5.26,11,1
0,0,0.91,1,1
0,0,3.16,2,1
0,0,4.61,10,1
0,0,5.14,9,1
0,0,1.41,2,1
0,0,3.09,2,1
1,0,5.42,2,1
0,0,0.91,5,1
1,0,1.41,2,1
0,1,4.46,1,1
1,0,0.91,2,1
1,0,4.96,2,1
1,0,5.42,0,1
1,0,0.91,2,1
1,0,5.59,2,1
1,0,4.96,3,1
1,1,1.16,17,1
1,0,1.41,1,1
0,0,1.41,60,1
1,0,4.61,4,1
1,0,0.91,4,1
0,0,0.91,1,1
0,0,5.42,4,1
1,0,5.51,5,1
1,0,1.81,38,1
1,1,5.34,3,1
1,0,4.31,1,1
1,0,0.82,3,1
0,0,0.82,3,1
0,0,2.22,1,1
0,0,4.96,3,1
0,0,4.77,6,1
1,0,4.99,1,1
0,0,1.07,2,1
1,0,0.82,2,1
0,0,0.82,2,1
0,0,5.59,3,1
1,0,5.59,7,1
0,0,1.32,9,1
0,0,0.82,16,1
0,2,4.96,2,1
0,0,5.59,8,1
0,0,5.59,5,1
1,0,0.82,8,1
0,0,5.67,15,1
0,0,2.36,4,1
0,0,0.66,1,1
1,0,4.02,1,1
1,0,5.04,5,1
1,1,4.89,1,1
1,0,5.51,1,1
1,0,1.51,1,1
1,0,2.36,5,1
1,0,5.21,4,1
1,0,3.84,1,1
1,0,4.14,1,1
0,0,3.82,1,1
1,0,4.89,1,1
1,0,1.24,1,1
1,0,1.51,1,1
1,0,5.49,3,1
1,0,5.24,10,1
1,0,3.29,2,1
1,0,5.09,2,1
1,0,5.24,1,1
0,0,5.11,3,1
0,0,1.47,4,1
1,0,0.97,2,1
1,0,0.97,2,1
1,0,0.97,1,1
0,0,0.97,4,1
0,0,0.72,5,1
0,0,4.72,3,1
0,0,1.47,1,1
1,0,4.72,3,1
1,0,0.97,5,1
1,0,1.47,1,1
0,0,5.49,1,1
1,0,5.32,3,1
1,0,0.81,2,1
1,0,0.74,3,1
0,1,5.51,1,1
1,0,2.74,4,1
1,0,3.31,2,1
0,0,5.26,1,1
1,0,0.99,1,1
0,0,5.67,5,1
1,0,2.29,4,1
1,0,0.91,6,1
1,0,0.91,2,1
1,0,2.07,1,1
1,0,5.42,3,1
0,0,4.61,1,1
0,0,5.44,11,1
1,0,5.52,3,1
1,0,3.41,1,1
0,0,4.82,1,1
1,0,0.76,1,1
1,0,1.01,3,1
1,0,5.52,1,1
1,0,2.17,1,1
1,0,4.82,4,1
1,0,1.26,2,1
1,0,1.01,1,1
1,0,1.26,3,1
0,0,1.01,1,1
0,0,4.82,2,1
0,0,1.29,1,1
0,0,5.56,1,1
1,0,1.04,2,1
1,0,1.04,2,1
1,0,4.06,1,1
0,0,1.04,1,1
0,0,1.56,2,1
1,0,5.67,1,1
0,0,5.67,3,1
1,0,1.32,2,1
1,0,0.99,1,1
0,0,1.24,7,1
1,0,1.92,1,1
1,0,1.92,0,1
0,0,5.26,10,1
1,0,0.74,17,1
0,0,5.51,5,1
1,0,0.99,1,1
1,0,0.74,11,1
0,0,0.74,6,1
0,0,5.51,7,1
1,0,1.24,2,1
0,0,5.26,7,1
0,0,5.26,5,1
1,0,0.91,2,1
0,0,0.74,1,1
0,0,0.99,1,1
1,0,1.41,1,1
0,0,0.74,34,1
0,1,5.42,3,1
0,0,5.51,1,1
1,0,0.74,1,1
0,0,5.26,9,1
0,0,5.51,1,1
0,0,0.99,5,1
1,0,5.26,54,1
0,0,0.74,1,1
1,0,0.66,1,1
1,0,0.66,1,1
0,0,0.91,4,1
1,0,1.72,2,1
1,0,0.91,1,1
1,0,1.89,16,1
1,0,5.14,3,1
1,0,0.91,2,1
0,0,0.91,2,1
0,0,1.16,1,1
1,0,2.29,1,1
1,0,1.59,1,1
1,0,0.66,2,1
0,0,5.26,4,1
0,0,5.42,2,1
1,0,0.66,3,1
0,0,0.74,2,1
0,0,1.41,19,1
0,0,2.29,1,1
1,1,5.42,2,1
0,0,0.66,1,1
0,2,0.91,9,1
0,0,1.41,1,1
1,0,5.42,2,1
1,0,1.41,2,1
1,0,0.91,14,1
1,0,0.91,2,1
1,0,1.07,8,1
0,0,1.16,10,1
0,0,5.42,3,1
1,0,5.42,17,1
1,0,5.42,11,1
0,0,5.42,11,1
1,0,5.42,10,1
1,0,5.42,3,1
1,0,5.26,9,1
1,0,5.42,18,1
1,0,5.42,3,1
1,0,5.42,3,1
1,0,5.26,1,1
0,0,0.99,1,1
1,0,5.14,4,1
1,0,5.26,5,1
0,0,5.14,2,1
1,0,5.26,8,1
1,0,0.91,1,1
1,0,4.77,4,1
